,id_x,name_x,artists_x,new_identifier,popularity_x,duration_ms_x,explicit_x,id_artists_x,release_date_x,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,Labels,Labels_list,id_y,name_y,artists_y,popularity_y,duration_ms_y,explicit_y,id_artists_y,release_date_y,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,genres,artists_list
2647,1s1X6GmkRg4YI1MzqQtWZ1,ne dis rien,damia,ne dis rien_damia,0,184738,0,['3XbKvMoMrInANw4FfHSG1y'],1929,0.402,0.12,7,-14.619,1,0.0422,0.883,0.0,0.378,0.362,98.941,3,sadness,['sadness'],1s1X6GmkRg4YI1MzqQtWZ1,ne dis rien,damia,0,184738,0,['3XbKvMoMrInANw4FfHSG1y'],1929,0.402,0.12,7,-14.619,1,0.0422,0.883,0.0,0.378,0.362,98.941,3,['malaysian pop'],['damia']
2648,1t71YmFJysdJ0o36OtDsUl,joliet bound,memphis minnie,joliet bound_memphis minnie,3,186027,0,['2WGyRLosdDgGJTLijIPpNC'],1929,0.747,0.159,1,-11.619,1,0.0527,0.995,0.0192,0.11,0.361,111.935,4,"power, tension","['power', 'tension']",1t71YmFJysdJ0o36OtDsUl,joliet bound,memphis minnie,3,186027,0,['2WGyRLosdDgGJTLijIPpNC'],1929,0.747,0.159,1,-11.619,1,0.0527,0.995,0.0192,0.11,0.361,111.935,4,"['acoustic blues', 'blues', 'boogie-woogie', 'country blues', 'jug band', 'memphis blues', 'traditional blues']",['memphis minnie']
2649,1uQR0gqZGSqjfpSwBJw1cQ,flor de rea,"francisco canaro, charlo","flor de rea_francisco canaro, charlo",0,174840,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929,0.679,0.372,9,-6.53,1,0.0641,0.992,0.321,0.442,0.932,118.763,4,sadness,['sadness'],1uQR0gqZGSqjfpSwBJw1cQ,flor de rea,"francisco canaro, charlo",0,174840,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929,0.679,0.372,9,-6.53,1,0.0641,0.992,0.321,0.442,0.932,118.763,4,"['tango', 'vintage tango']","['francisco canaro', ' charlo']"
2650,1yz2KEbCHlbmNkTNmqFNex,say i do it,sloppy henry,say i do it_sloppy henry,0,163866,0,['0uCnKPfnv42FdWZwvgjXkY'],2029-01-12 00:00:00,0.756,0.0944,6,-18.213,1,0.222,0.989,0.0,0.143,0.737,114.81,4,tension,['tension'],1yz2KEbCHlbmNkTNmqFNex,say i do it,sloppy henry,0,163866,0,['0uCnKPfnv42FdWZwvgjXkY'],1929-01-12,0.756,0.0944,6,-18.213,1,0.222,0.989,0.0,0.143,0.737,114.81,4,['pre-war blues'],['sloppy henry']
2651,22aYJFp5DPqYtxH1u4s3Wm,i'll be thinking of you little gal,gene autry,i'll be thinking of you little gal_gene autry,0,184893,0,['5ixB75BQR3ADoWQkcHQJTs'],1929,0.517,0.333,0,-10.584,1,0.0347,0.986,0.000694,0.338,0.649,122.386,4,"solemnity, power, tension, sadness","['solemnity', 'power', 'tension', 'sadness']",22aYJFp5DPqYtxH1u4s3Wm,i'll be thinking of you little gal,gene autry,0,184893,0,['5ixB75BQR3ADoWQkcHQJTs'],1929,0.517,0.333,0,-10.584,1,0.0347,0.986,0.000694,0.338,0.649,122.386,4,"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']",['gene autry']
2652,22exfbbxir1dKx2rOvycsq,suspiros,francisco canaro,suspiros_francisco canaro,0,197973,0,['2maQMqxNnlRrBrS1oAsrX9'],1929,0.581,0.256,9,-9.643,1,0.0539,0.995,0.859,0.171,0.728,118.034,4,"tension, sadness","['tension', 'sadness']",22exfbbxir1dKx2rOvycsq,suspiros,francisco canaro,0,197973,0,['2maQMqxNnlRrBrS1oAsrX9'],1929,0.581,0.256,9,-9.643,1,0.0539,0.995,0.859,0.171,0.728,118.034,4,"['tango', 'vintage tango']",['francisco canaro']
2653,28YiLQjVcTcVNTNfpZhmvR,pig meat on the line,memphis minnie,pig meat on the line_memphis minnie,2,152733,0,['2WGyRLosdDgGJTLijIPpNC'],1929,0.742,0.165,0,-11.153,1,0.0446,0.991,0.00412,0.109,0.491,132.815,4,"power, tension","['power', 'tension']",28YiLQjVcTcVNTNfpZhmvR,pig meat on the line,memphis minnie,2,152733,0,['2WGyRLosdDgGJTLijIPpNC'],1929,0.742,0.165,0,-11.153,1,0.0446,0.991,0.00412,0.109,0.491,132.815,4,"['acoustic blues', 'blues', 'boogie-woogie', 'country blues', 'jug band', 'memphis blues', 'traditional blues']",['memphis minnie']
2654,29Em4l15QlYxmAR9SAKFC9,whoopee blues,king solomon hill,whoopee blues_king solomon hill,0,207430,0,['5fJqKIhjv3fatslXWyKysG'],1929,0.68,0.133,1,-10.156,1,0.0657,0.99,0.795,0.109,0.68,142.703,4,"tenderness, sadness","['tenderness', 'sadness']",29Em4l15QlYxmAR9SAKFC9,whoopee blues,king solomon hill,0,207430,0,['5fJqKIhjv3fatslXWyKysG'],1929,0.68,0.133,1,-10.156,1,0.0657,0.99,0.795,0.109,0.68,142.703,4,"['delta blues', 'pre-war blues', 'traditional blues']",['king solomon hill']
2655,2CZDAD8Yh0tBNK24KmdNeE,good little bad little you (carroll gibbons),carroll gibbons,good little bad little you (carroll gibbons)_carroll gibbons,0,179760,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.778,0.154,0,-16.55,1,0.0533,0.989,0.0791,0.107,0.692,95.616,4,"tension, sadness","['tension', 'sadness']",2CZDAD8Yh0tBNK24KmdNeE,good little bad little you (carroll gibbons),carroll gibbons,0,179760,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.778,0.154,0,-16.55,1,0.0533,0.989,0.0791,0.107,0.692,95.616,4,['british dance band'],['carroll gibbons']
2656,2LYm1nj5qt4THvmJMlqj8Q,juanita - remasterizado,"francisco canaro, charlo","juanita - remasterizado_francisco canaro, charlo",0,180507,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",2029-10-18 00:00:00,0.504,0.137,7,-14.371,1,0.0501,0.995,0.606,0.11,0.517,76.776,3,"power, tension","['power', 'tension']",2LYm1nj5qt4THvmJMlqj8Q,juanita - remasterizado,"francisco canaro, charlo",0,180507,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-18,0.504,0.137,7,-14.371,1,0.0501,0.995,0.606,0.11,0.517,76.776,3,"['tango', 'vintage tango']","['francisco canaro', ' charlo']"
2657,2Q27PrEcoNvIvM0YNpmL4N,love me or leave me (carroll gibbons),carroll gibbons,love me or leave me (carroll gibbons)_carroll gibbons,0,177787,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.427,0.155,8,-14.716,1,0.0575,0.985,0.65,0.328,0.45,174.25,4,"nostalgia, tenderness","['nostalgia', 'tenderness']",2Q27PrEcoNvIvM0YNpmL4N,love me or leave me (carroll gibbons),carroll gibbons,0,177787,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.427,0.155,8,-14.716,1,0.0575,0.985,0.65,0.328,0.45,174.25,4,['british dance band'],['carroll gibbons']
2658,2T9BFXBimczbEmgbxbuNmV,rostro palido - instrumental (remasterizado),francisco canaro,rostro palido - instrumental (remasterizado)_francisco canaro,0,164533,0,['2maQMqxNnlRrBrS1oAsrX9'],2029-10-18 00:00:00,0.729,0.18,4,-13.543,0,0.0867,0.995,0.596,0.161,0.776,120.215,4,"power, tension","['power', 'tension']",2T9BFXBimczbEmgbxbuNmV,rostro palido - instrumental (remasterizado),francisco canaro,0,164533,0,['2maQMqxNnlRrBrS1oAsrX9'],1929-10-18,0.729,0.18,4,-13.543,0,0.0867,0.995,0.596,0.161,0.776,120.215,4,"['tango', 'vintage tango']",['francisco canaro']
2659,2WlJfEnf6hszWHrPOwiefi,bye bye blues,dixieland jug blowers,bye bye blues_dixieland jug blowers,0,171584,0,['482jCWGlzNDVJqgxkeGy5I'],2029-01-08 00:00:00,0.427,0.213,0,-13.71,1,0.0462,0.992,0.653,0.171,0.571,95.592,3,"power, tension","['power', 'tension']",2WlJfEnf6hszWHrPOwiefi,bye bye blues,dixieland jug blowers,0,171584,0,['482jCWGlzNDVJqgxkeGy5I'],1929-01-08,0.427,0.213,0,-13.71,1,0.0462,0.992,0.653,0.171,0.571,95.592,3,"['dixieland', 'jug band']",['dixieland jug blowers']
2660,2ascCTbZsymaml8e82VASV,short hair blues,kid stormy weather,short hair blues_kid stormy weather,0,198577,0,['1jdRA204xUbCpUpETWFtlr'],1929,0.656,0.115,4,-11.964,1,0.0495,0.982,0.0636,0.129,0.565,108.161,4,"power, tension, sadness","['power', 'tension', 'sadness']",2ascCTbZsymaml8e82VASV,short hair blues,kid stormy weather,0,198577,0,['1jdRA204xUbCpUpETWFtlr'],1929,0.656,0.115,4,-11.964,1,0.0495,0.982,0.0636,0.129,0.565,108.161,4,['barrelhouse piano'],['kid stormy weather']
2661,2c4uIy1TUGqpLonGkNDvO4,god didn't make me no monkey man,eli framer,god didn't make me no monkey man_eli framer,0,189637,0,['08ZAcu9XxTswmgVlU2T03X'],2029-01-11 00:00:00,0.688,0.196,10,-14.93,1,0.0451,0.995,0.423,0.107,0.551,128.545,1,"power, tension","['power', 'tension']",2c4uIy1TUGqpLonGkNDvO4,god didn't make me no monkey man,eli framer,0,189637,0,['08ZAcu9XxTswmgVlU2T03X'],1929-01-11,0.688,0.196,10,-14.93,1,0.0451,0.995,0.423,0.107,0.551,128.545,1,['pre-war blues'],['eli framer']
2662,2ca1HlMZFgTD2ZCx9HqJnI,no seas amlita,francisco canaro,no seas amlita_francisco canaro,0,175400,0,['2maQMqxNnlRrBrS1oAsrX9'],1929,0.765,0.168,10,-11.406,1,0.0671,0.995,0.757,0.131,0.763,121.735,4,"power, tension","['power', 'tension']",2ca1HlMZFgTD2ZCx9HqJnI,no seas amlita,francisco canaro,0,175400,0,['2maQMqxNnlRrBrS1oAsrX9'],1929,0.765,0.168,10,-11.406,1,0.0671,0.995,0.757,0.131,0.763,121.735,4,"['tango', 'vintage tango']",['francisco canaro']
2663,2mHCO6tJJBRoYrIlNO7Yxs,ils la volet mon tracas,joe falcon,ils la volet mon tracas_joe falcon,0,182453,0,['58RtiSIOttK6MA1wcDetvG'],1929,0.444,0.392,2,-10.484,1,0.04,0.756,0.773,0.153,0.512,197.241,4,"tension, sadness","['tension', 'sadness']",2mHCO6tJJBRoYrIlNO7Yxs,ils la volet mon tracas,joe falcon,0,182453,0,['58RtiSIOttK6MA1wcDetvG'],1929,0.444,0.392,2,-10.484,1,0.04,0.756,0.773,0.153,0.512,197.241,4,"['cajun', 'zydeco']",['joe falcon']
2664,35BKbEoLkXybKH9PvXH8tu,third street women blues,blind joe reynolds,third street women blues_blind joe reynolds,0,175657,0,['429vM8a9fUXKmaHy2SzC4W'],1929,0.589,0.235,2,-15.54,0,0.0438,0.993,0.254,0.16,0.508,151.372,4,tension,['tension'],35BKbEoLkXybKH9PvXH8tu,third street women blues,blind joe reynolds,0,175657,0,['429vM8a9fUXKmaHy2SzC4W'],1929,0.589,0.235,2,-15.54,0,0.0438,0.993,0.254,0.16,0.508,151.372,4,"['deep delta blues', 'traditional blues']",['blind joe reynolds']
2665,369WvYQTw02RYWq3Dpbi5e,tus noches de amor - instrumental (remasterizado),francisco canaro,tus noches de amor - instrumental (remasterizado)_francisco canaro,0,166493,0,['2maQMqxNnlRrBrS1oAsrX9'],2029-10-22 00:00:00,0.728,0.262,7,-6.36,1,0.0566,0.987,0.375,0.175,0.786,117.741,4,"power, tension","['power', 'tension']",369WvYQTw02RYWq3Dpbi5e,tus noches de amor - instrumental (remasterizado),francisco canaro,0,166493,0,['2maQMqxNnlRrBrS1oAsrX9'],1929-10-22,0.728,0.262,7,-6.36,1,0.0566,0.987,0.375,0.175,0.786,117.741,4,"['tango', 'vintage tango']",['francisco canaro']
2666,3AoUW6DiSbiNMNr60x44NW,la indiada - instrumental (remasterizado),francisco canaro,la indiada - instrumental (remasterizado)_francisco canaro,0,166480,0,['2maQMqxNnlRrBrS1oAsrX9'],2029-10-17 00:00:00,0.645,0.341,2,-7.852,1,0.0766,0.986,0.916,0.365,0.72,119.283,4,"power, tension","['power', 'tension']",3AoUW6DiSbiNMNr60x44NW,la indiada - instrumental (remasterizado),francisco canaro,0,166480,0,['2maQMqxNnlRrBrS1oAsrX9'],1929-10-17,0.645,0.341,2,-7.852,1,0.0766,0.986,0.916,0.365,0.72,119.283,4,"['tango', 'vintage tango']",['francisco canaro']
2667,3FAUezerXvX55p3juaS05j,por el camino - remasterizado,"francisco canaro, charlo","por el camino - remasterizado_francisco canaro, charlo",0,164493,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",2029-10-22 00:00:00,0.724,0.259,8,-6.736,1,0.0629,0.993,0.367,0.179,0.577,119.036,4,"power, tension","['power', 'tension']",3FAUezerXvX55p3juaS05j,por el camino - remasterizado,"francisco canaro, charlo",0,164493,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-22,0.724,0.259,8,-6.736,1,0.0629,0.993,0.367,0.179,0.577,119.036,4,"['tango', 'vintage tango']","['francisco canaro', ' charlo']"
2668,3HYxCiAFhHsg0as87EaKA4,rostro palido,francisco canaro,rostro palido_francisco canaro,0,164533,0,['2maQMqxNnlRrBrS1oAsrX9'],1929,0.729,0.18,4,-13.543,0,0.0867,0.995,0.596,0.161,0.776,120.215,4,"tension, sadness","['tension', 'sadness']",3HYxCiAFhHsg0as87EaKA4,rostro palido,francisco canaro,0,164533,0,['2maQMqxNnlRrBrS1oAsrX9'],1929,0.729,0.18,4,-13.543,0,0.0867,0.995,0.596,0.161,0.776,120.215,4,"['tango', 'vintage tango']",['francisco canaro']
2669,3ITQ6V1iTRYebhiRZ9qGPU,new salty dog,sam collins,new salty dog_sam collins,0,192283,0,['60OCVcCxsNKT3VgR0hnDKx'],1929,0.521,0.0782,4,-16.945,1,0.0538,0.995,0.7,0.114,0.482,172.755,4,"power, tension","['power', 'tension']",3ITQ6V1iTRYebhiRZ9qGPU,new salty dog,sam collins,0,192283,0,['60OCVcCxsNKT3VgR0hnDKx'],1929,0.521,0.0782,4,-16.945,1,0.0538,0.995,0.7,0.114,0.482,172.755,4,['g-house'],['sam collins']
2670,3N9k9iUGV7pvG7mZ9iwn3r,my dreaming of you,gene autry,my dreaming of you_gene autry,1,161427,0,['5ixB75BQR3ADoWQkcHQJTs'],1929,0.561,0.228,9,-12.16,1,0.0409,0.991,0.0,0.301,0.502,111.841,3,sadness,['sadness'],3N9k9iUGV7pvG7mZ9iwn3r,my dreaming of you,gene autry,1,161427,0,['5ixB75BQR3ADoWQkcHQJTs'],1929,0.561,0.228,9,-12.16,1,0.0409,0.991,0.0,0.301,0.502,111.841,3,"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']",['gene autry']
2671,3RmeELhWlwnRRVSyQ51nJV,trouble in mind,"bertha ""chippie"" hill, richard m jones","trouble in mind_bertha ""chippie"" hill, richard m jones",0,196417,0,"['1sPDyROEgOvKQlReOg874E', '4gwFwktwSXrBZ3cE53RJul']",1929,0.615,0.0562,5,-12.092,1,0.0514,0.996,0.087,0.1,0.469,83.195,4,"solemnity, nostalgia, power, tension, sadness","['solemnity', 'nostalgia', 'power', 'tension', 'sadness']",3RmeELhWlwnRRVSyQ51nJV,trouble in mind,"bertha ""chippie"" hill, richard m jones",0,196417,0,"['1sPDyROEgOvKQlReOg874E', '4gwFwktwSXrBZ3cE53RJul']",1929,0.615,0.0562,5,-12.092,1,0.0514,0.996,0.087,0.1,0.469,83.195,4,['vintage swing'],"['bertha ""chippie"" hill', ' richard m jones']"
2672,3TsALp7pP4tHqOwM015qc3,new orleans stop time,memphis minnie,new orleans stop time_memphis minnie,2,178773,0,['2WGyRLosdDgGJTLijIPpNC'],1929,0.767,0.524,11,-11.432,1,0.0589,0.968,0.162,0.115,0.864,113.091,4,power,['power'],3TsALp7pP4tHqOwM015qc3,new orleans stop time,memphis minnie,2,178773,0,['2WGyRLosdDgGJTLijIPpNC'],1929,0.767,0.524,11,-11.432,1,0.0589,0.968,0.162,0.115,0.864,113.091,4,"['acoustic blues', 'blues', 'boogie-woogie', 'country blues', 'jug band', 'memphis blues', 'traditional blues']",['memphis minnie']
2673,3VEEqM90LChf8zWBnogKpN,old rock island blues,lonnie coleman,old rock island blues_lonnie coleman,0,192517,0,['69dLV0tzjhGCaHpAT9uzcZ'],2029-01-12 00:00:00,0.849,0.417,1,-10.368,0,0.071,0.992,2.75e-05,0.115,0.823,135.14,4,"power, tension","['power', 'tension']",3VEEqM90LChf8zWBnogKpN,old rock island blues,lonnie coleman,0,192517,0,['69dLV0tzjhGCaHpAT9uzcZ'],1929-01-12,0.849,0.417,1,-10.368,0,0.071,0.992,2.75e-05,0.115,0.823,135.14,4,['pre-war blues'],['lonnie coleman']
2674,3WLZVHpkOSj09DEjY2OF0w,les moins de cent ans,georgius,les moins de cent ans_georgius,0,175636,0,['0Yly6PvJghpLD3Lj8Kvpcj'],1929,0.636,0.365,7,-13.011,1,0.321,0.832,0.0,0.138,0.799,143.499,4,sadness,['sadness'],3WLZVHpkOSj09DEjY2OF0w,les moins de cent ans,georgius,0,175636,0,['0Yly6PvJghpLD3Lj8Kvpcj'],1929,0.636,0.365,7,-13.011,1,0.321,0.832,0.0,0.138,0.799,143.499,4,['vintage chanson'],['georgius']
2675,3Xc7mYVZAIdq6WAZNi4yUR,"hello, sunshine, hello (carroll gibbons)",carroll gibbons,"hello, sunshine, hello (carroll gibbons)_carroll gibbons",1,179867,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.739,0.233,5,-14.311,0,0.0456,0.984,0.0715,0.139,0.7,98.194,4,"nostalgia, tenderness","['nostalgia', 'tenderness']",3Xc7mYVZAIdq6WAZNi4yUR,"hello, sunshine, hello (carroll gibbons)",carroll gibbons,1,179867,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.739,0.233,5,-14.311,0,0.0456,0.984,0.0715,0.139,0.7,98.194,4,['british dance band'],['carroll gibbons']
2679,68gDatkVglgFLKhuCXUPdl,stay away from my chicken house,gene autry,stay away from my chicken house_gene autry,0,165360,0,['5ixB75BQR3ADoWQkcHQJTs'],1929,0.701,0.12,3,-13.339,1,0.12,0.992,0.0,0.127,0.607,135.452,4,"tension, sadness","['tension', 'sadness']",68gDatkVglgFLKhuCXUPdl,stay away from my chicken house,gene autry,0,165360,0,['5ixB75BQR3ADoWQkcHQJTs'],1929,0.701,0.12,3,-13.339,1,0.12,0.992,0.0,0.127,0.607,135.452,4,"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']",['gene autry']
2680,3jBmVDTWiN81NL9DoMbvi9,royal palm special blues,sloppy henry,royal palm special blues_sloppy henry,0,186085,0,['0uCnKPfnv42FdWZwvgjXkY'],2029-01-12 00:00:00,0.465,0.155,10,-13.568,1,0.0751,0.994,7.87e-06,0.284,0.284,95.08,4,"tension, sadness","['tension', 'sadness']",3jBmVDTWiN81NL9DoMbvi9,royal palm special blues,sloppy henry,0,186085,0,['0uCnKPfnv42FdWZwvgjXkY'],1929-01-12,0.465,0.155,10,-13.568,1,0.0751,0.994,7.87e-06,0.284,0.284,95.08,4,['pre-war blues'],['sloppy henry']
2681,3jsSX1j8EThM7YiX4b0mva,raquel - remasterizado,"francisco canaro, charlo","raquel - remasterizado_francisco canaro, charlo",0,195493,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",2029-10-22 00:00:00,0.45,0.154,0,-11.213,1,0.061,0.995,0.28,0.364,0.398,134.59,3,"power, tension","['power', 'tension']",3jsSX1j8EThM7YiX4b0mva,raquel - remasterizado,"francisco canaro, charlo",0,195493,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-22,0.45,0.154,0,-11.213,1,0.061,0.995,0.28,0.364,0.398,134.59,3,"['tango', 'vintage tango']","['francisco canaro', ' charlo']"
2683,3kAaikmv4UY3DqX9OVAUOM,looking the world over,memphis minnie,looking the world over_memphis minnie,1,155600,0,['2WGyRLosdDgGJTLijIPpNC'],1929,0.789,0.279,4,-10.179,0,0.067,0.971,1.01e-05,0.139,0.573,99.643,4,"power, tension","['power', 'tension']",1Bwb7B8XN1R9N0XyizxMWR,looking the world over,memphis minnie,0,159238,0,['2WGyRLosdDgGJTLijIPpNC'],1947,0.829,0.14,9,-10.78,1,0.0678,0.991,0.000161,0.0806,0.559,99.71,4,"['acoustic blues', 'blues', 'boogie-woogie', 'country blues', 'jug band', 'memphis blues', 'traditional blues']",['memphis minnie']
2684,3mHHYQCZN59gSsSFGQg3GW,ghost woman blues,george carter,ghost woman blues_george carter,0,175682,0,['4Oz49PLrhrPY4y8Cdqp1pm'],2029-01-12 00:00:00,0.498,0.176,5,-12.724,1,0.0419,0.996,0.625,0.264,0.377,123.312,4,"power, tension, sadness","['power', 'tension', 'sadness']",3mHHYQCZN59gSsSFGQg3GW,ghost woman blues,george carter,0,175682,0,['4Oz49PLrhrPY4y8Cdqp1pm'],1929-01-12,0.498,0.176,5,-12.724,1,0.0419,0.996,0.625,0.264,0.377,123.312,4,['deep delta blues'],['george carter']
2685,3qQsPs7MPdvYJ1DrXfwuAt,railroad boomer,gene autry,railroad boomer_gene autry,0,177387,0,['5ixB75BQR3ADoWQkcHQJTs'],1929,0.776,0.106,5,-12.672,1,0.0503,0.984,0.0,0.13,0.515,116.633,4,"power, tension, sadness","['power', 'tension', 'sadness']",3qQsPs7MPdvYJ1DrXfwuAt,railroad boomer,gene autry,0,177387,0,['5ixB75BQR3ADoWQkcHQJTs'],1929,0.776,0.106,5,-12.672,1,0.0503,0.984,0.0,0.13,0.515,116.633,4,"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']",['gene autry']
2686,3w5Gqkf2Gm9makFRkdqRtD,delirio - instrumental (remasterizado),francisco canaro,delirio - instrumental (remasterizado)_francisco canaro,0,169080,0,['2maQMqxNnlRrBrS1oAsrX9'],2029-10-18 00:00:00,0.651,0.322,6,-5.744,0,0.0571,0.989,0.00318,0.174,0.866,119.492,4,"power, tension","['power', 'tension']",3w5Gqkf2Gm9makFRkdqRtD,delirio - instrumental (remasterizado),francisco canaro,0,169080,0,['2maQMqxNnlRrBrS1oAsrX9'],1929-10-18,0.651,0.322,6,-5.744,0,0.0571,0.989,0.00318,0.174,0.866,119.492,4,"['tango', 'vintage tango']",['francisco canaro']
2687,40GTRiUhUM5QVBEva7ukry,sans avoir l'air d'y toucher,maurice chevalier,sans avoir l'air d'y toucher_maurice chevalier,0,142524,0,['3QXjI80udwDSEfxK5BjUXc'],1929,0.565,0.394,7,-13.611,1,0.159,0.808,0.0,0.189,0.925,127.746,4,"tension, sadness","['tension', 'sadness']",40GTRiUhUM5QVBEva7ukry,sans avoir l'air d'y toucher,maurice chevalier,0,142524,0,['3QXjI80udwDSEfxK5BjUXc'],1929,0.565,0.394,7,-13.611,1,0.159,0.808,0.0,0.189,0.925,127.746,4,"['cabaret', 'vintage hollywood']",['maurice chevalier']
2688,44z2Z9xR2riey3XXQNgGxV,i'm crazy over you (carroll gibbons),carroll gibbons,i'm crazy over you (carroll gibbons)_carroll gibbons,0,192960,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.566,0.122,7,-16.847,1,0.0773,0.989,0.754,0.0573,0.838,163.515,4,sadness,['sadness'],44z2Z9xR2riey3XXQNgGxV,i'm crazy over you (carroll gibbons),carroll gibbons,0,192960,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.566,0.122,7,-16.847,1,0.0773,0.989,0.754,0.0573,0.838,163.515,4,['british dance band'],['carroll gibbons']
2689,45HsAUTKK4xxM335EYvGQb,estoy que me muero - remasterizado,"francisco canaro, charlo","estoy que me muero - remasterizado_francisco canaro, charlo",0,180507,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",2029-11-05 00:00:00,0.701,0.161,2,-14.866,1,0.0557,0.995,0.746,0.154,0.776,102.209,4,"power, tension","['power', 'tension']",45HsAUTKK4xxM335EYvGQb,estoy que me muero - remasterizado,"francisco canaro, charlo",0,180507,0,"['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-11-05,0.701,0.161,2,-14.866,1,0.0557,0.995,0.746,0.154,0.776,102.209,4,"['tango', 'vintage tango']","['francisco canaro', ' charlo']"
2690,45kfAqeMUjFUNt2AfysY83,angela mia - instrumental (remasterizado),francisco canaro,angela mia - instrumental (remasterizado)_francisco canaro,0,190627,0,['2maQMqxNnlRrBrS1oAsrX9'],2029-10-18 00:00:00,0.376,0.253,3,-12.289,1,0.0597,0.995,0.868,0.179,0.861,207.846,4,"power, tension","['power', 'tension']",45kfAqeMUjFUNt2AfysY83,angela mia - instrumental (remasterizado),francisco canaro,0,190627,0,['2maQMqxNnlRrBrS1oAsrX9'],1929-10-18,0.376,0.253,3,-12.289,1,0.0597,0.995,0.868,0.179,0.861,207.846,4,"['tango', 'vintage tango']",['francisco canaro']
2691,47Y34xA2HW0axxUw22SjJu,dancing goblin (carroll gibbons),carroll gibbons,dancing goblin (carroll gibbons)_carroll gibbons,0,183493,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.58,0.146,2,-21.224,1,0.0422,0.99,0.473,0.113,0.63,100.814,4,power,['power'],47Y34xA2HW0axxUw22SjJu,dancing goblin (carroll gibbons),carroll gibbons,0,183493,0,['7IFehwNMIwBSIf40iX0gm9'],1929,0.58,0.146,2,-21.224,1,0.0422,0.99,0.473,0.113,0.63,100.814,4,['british dance band'],['carroll gibbons']
2692,48oUdcL6vGmXqBsL0wlGOs,i hate a man like you,lizzie miles,i hate a man like you_lizzie miles,0,224697,0,['7u9jicjzN1GUyXvX5FROHN'],1929,0.607,0.0217,11,-15.295,1,0.117,0.992,0.0,0.0922,0.205,76.053,4,"nostalgia, tension, sadness","['nostalgia', 'tension', 'sadness']",48oUdcL6vGmXqBsL0wlGOs,i hate a man like you,lizzie miles,0,224697,0,['7u9jicjzN1GUyXvX5FROHN'],1929,0.607,0.0217,11,-15.295,1,0.117,0.992,0.0,0.0922,0.205,76.053,4,['new orleans blues'],['lizzie miles']
2693,4Ar1IuO8hfIL6z80z062EZ,wild about my loving,lonnie coleman,wild about my loving_lonnie coleman,0,184715,0,['69dLV0tzjhGCaHpAT9uzcZ'],2029-01-12 00:00:00,0.776,0.519,7,-11.148,1,0.0525,0.989,1.98e-05,0.121,0.97,137.063,4,"nostalgia, tension, sadness","['nostalgia', 'tension', 'sadness']",4Ar1IuO8hfIL6z80z062EZ,wild about my loving,lonnie coleman,0,184715,0,['69dLV0tzjhGCaHpAT9uzcZ'],1929-01-12,0.776,0.519,7,-11.148,1,0.0525,0.989,1.98e-05,0.121,0.97,137.063,4,['pre-war blues'],['lonnie coleman']
